id_departamento,nombre,mail,fecha_fundacion,nro_conabip
06854,Comité Cultural y Biblioteca Juan Francisco Ibarra,,1922-01-01,938
06588,Bib.Pop. Anastasio Prieto,,1980-01-01,200
06588,Bib.Pop. José Ingenieros,,1933-01-01,1850
06007,Bib.Pop. Adolfo Alsina,,1912-01-01,88
06007,Bib.Pop. José Ingenieros,ccibiblio@hotmail.com,1925-01-01,1278
06014,Bib.Pub. Bernardino Rivadavia,bipobrchaves@yahoo.com.ar,1925-01-01,1062
06014,Bib.Pop. Dr. Victor H. Barrera,barrerabp@hotmail.com,1942-01-01,2170
06021,Bib.Pop. Andrés Vaccarezza,eleana_1983@hotmail.com,1925-01-01,1554
06028,Amigos de la Biblioteca Esteban Adrogué,,1918-01-01,90
06028,Bib. Pop. La Margarita blanca,,1999-01-01,4001
06028,Bib.Pop. Mahatma Gandhi,bpmgandhi@tutopia.com,1980-01-01,3792
06028,Bib.Pop. Pablo Rojas Paz,bibliorojaspaz@gmail.com,1969-01-01,2870
06028,Bib.Pop. Manuel Belgrano del Barrio de Villa París,bib_manuelbelgrano_glew@yahoo.com.ar,1998-01-01,3952
06028,Bib.Pop. Fray Luis Beltrán,neanvi@yahoo.com.ar,2007-01-01,4260
06028,Bib.Pop.Soc.Fom. Martín Fierro,bibmfierro@yahoo.com.ar,1956-01-01,2982
06028,Bib. Pop. Atahualpa Yupanqui,atahualpa1999@gmail.com,1999-01-01,3841
06427,Bib.Pop. Gabriela Mistral,,1980-01-01,3950
06035,Bib.Pop. Bartolomé Mitre,bibpopularmitre@yahoo.com.ar,1932-01-01,2296
06035,Bib.Pop. José Mármol,bjmarmol@yahoo.com.ar,1940-01-01,2543
06035,Bib.Pop. Dr. Estanislao S. Zeballos,spebpop@gmail.com,2001-01-01,3063
06035,Bib.Pop. Alfredo Palacios,bipopalacios@yahoo.com.ar,1996-01-01,3561
06035,Bib.Pub.Mun.Pop. de Avellaneda,bpmavellaneda@hotmail.com,1919-01-01,3824
06035,Bib.Pop. Maestro Alfredo Bravo,bibliotecabravo@yahoo.com.ar,1980-01-01,4136
06035,Bib.Pop. Dock Sud,bibliotecapopulardocksud@gmail.com,1998-01-01,3908
06035,Bib.Pop. Juan Bautista Alberdi,punkyflores69@hotmail.com,1918-01-01,252
06035,Bib.Pop. Enrique del Valle Iberlucea,,2002-01-01,4086
06035,Bib.Pop. Veladas de estudio después del trabajo,,1921-01-01,217
06035,Bib.Pop. Presidente Avellaneda,bibliotecapopularpteavellaneda@yahoo.com.ar,1987-01-01,3719
06035,Soc. Fom. y Cul. y Bib.Pop. Domingo Faustino Sarmiento,bsfsarmiento1925@yahoo.com.ar,1980-01-01,4192
06035,Soc.Fom. U. de Dom. y Bib.Pop. Nicolás Avellaneda,bnicolasavellaneda@yahoo.com.ar,1985-01-01,3051
06035,Bib.Pop. Juan M. de Pueyrredón,,1922-01-01,911
06035,Bib. Pop. Oscar Smith,bibliotecapopularoscarsmith@yahoo.com,2008-01-01,4265
06042,Bib.Pub.Mun. Manuel Vilardaga,,,3193
06049,Bib.Pop. Bartolomé J. Ronco,info@bibliotecaronco.com.ar,,83
06049,Bib.Pop. Almafuerte,,1918-01-01,111
06049,Bib.Pop. Asoc.Cult. de Chillar,bibliochillar@yahoo.com.ar,1939-01-01,2068
06056,Bib.Pop. Bernardino Rivadavia,abrbp@abrbp.org.ar,,100
06056,Bib.Pop. Bartolomé Mitre,bibliotecabmitre@yahoo.com.ar,1922-01-01,1663
06056,Bib.Pop. Roberto Payro,,1960-01-01,2790
06056,Bib.Pop. Pajarita de papel,,1980-01-01,3392
06056,Bib.Pop. Eduardo Mallea,bibliotecamallea@yahoo.com.ar,1980-01-01,3587
06056,Bib.Pop. Don Germán García,bpggbb@yahoo.com.ar,1996-01-01,3795
06056,Bib.Pop. Rosario Sur,biblioteca_rosariosur@yahoo.com.ar,2000-01-01,3929
06056,Bib. Pop. Gabriela Mistral,bibpopgabmistral@yahoo.com.ar,1996-01-01,4022
06056,Bib.Pop. Simón Rodriguez,simonrodriguezbiblioteca@gmail.com,1980-01-01,4137
06056,Bib. Pop. Villa Duprat,biblioduprat@gmail.com,1980-01-01,4155
06056,BIb. Pop. Martín Allica,bibliotecamartinallica@yahoo.com.ar,2006-01-01,4256
06056,Bib.Pop. Mariano Moreno,,1963-01-01,2871
06056,Asoc. José Hernández,,1966-01-01,2841
06056,Bib.Pop. Mariano Moreno,bibliomarianomorenoiw@gmail.com,1925-01-01,1465
06056,Bib.Pop. Ing. Domingo Pronsato,bibliotecapronsato@yahoo.com.ar,1989-01-01,3132
06063,Bib.Pub. Pablo A. Pizzurno,bibliotecapizzurno@yahoo.com.ar,1923-01-01,1021
06070,Bib.Pop.Mun. Fray Luis de Bolaños,,,1469
06070,Bib.Pop. José Manuel Estrada,,1919-01-01,2159
06070,Bib.Pop. Mario Bravo,,1980-01-01,3718
06077,Bib.Pop.Mun. Teniente Gral. Bme. Mitre,bibmitre@yahoo.com.ar,1939-01-01,2688
06084,Bib.Pop. Juan J. Bernal Torres,bipopbernaltorres@gmail.com,1946-01-01,2723
06091,Bib.Pop. Manuel Belgrano,bpmbelgrano@hotmail.com,1924-01-01,1280
06091,Bib.Pop. Padre Carlos Mugica,bibliotecapadremugica@hotmail.com,1986-01-01,3046
06091,Bib.Pop. Juan María Gutierrez,bibliotecapopularjmgutierrez@hotmail.com,2002-01-01,4075
06091,Bib.Pop. José Ingenieros,bibliotecadeplatanos@yahoo.com.ar,1984-01-01,3033
06091,Bib.Pop. y Cent. Victoria Ocampo,ranelaghbibliocampo@yahoo.com.ar,1980-01-01,4169
06098,Bib.Pop. Pestalozzi,bibliopopularpestalozzi@gmail.com,1935-01-01,1864
06098,Bib. Pop. Mariano Moreno,,1944-01-01,2082
06098,Bib.Pop. Ricardo Güiraldes,bibliotecaguiraldes@yahoo.com.ar,1949-01-01,2473
06098,Bib.Pop. Almafuerte,,1943-01-01,2490
06098,Bib.Pop. Mariano Moreno,,1980-01-01,2492
06098,Bib.Pop. Presbítero Pascual Ruberto,pascualruberto@hotmail.com,1995-01-01,3692
06098,Bib.Pop. Belisario Roldán,,1947-01-01,2318
06105,Bib.Pop. Bernardino Rivadavia,bib_rivadavia@yahoo.com.ar,1911-01-01,93
06105,Bib.Pop. D.F.Sarmiento,cultural_07@yahoo.com.ar,1926-01-01,1478
06105,Bib.Pop. María Alcira Cabrera,,1972-01-01,3801
06105,Bib.Pop. D.F.Sarmiento,bpurdampilleta@yahoo.com.ar,1933-01-01,1769
06112,Bib.Pop. Manuel Belgrano,bbelgrano@yahoo.com.ar,1943-01-01,2191
06112,Bib.Pop. Florencio López,,1997-01-01,3749
06112,Bib.Pop. Bernardino Rivadavia,,1926-01-01,1857
06021,Bib.Pop. José Ingenieros,bpjimechita@live.com.ar,1940-01-01,2135
06112,Bib.Pop. José Ignacio Warnes,bpjiwarnes@yahoo.com.ar,1980-01-01,4142
06119,Bib.Pop. José de San Martín,,1932-01-01,1676
06119,Bib.Pop. Dr. Frutos Enrique Ortiz,gallardosandra@hotmail.com,1980-01-01,4166
06119,Bib.Pop. Jeppener,,2002-01-01,4024
06126,Bib. Pop. Pilar A. de Traverso,bibliotecatraverso@yahoo.com.ar,1992-01-01,3468
06134,Bib.Pop. D.F.Sarmiento,bibliotecapopulardfsarmiento@hotmail.com,1927-01-01,1266
06134,Bib.Pop. Barrio San Esteban,sanestebanbibliotecapopular@yahoo.com.ar <SANESTEBANBIBLIOTECAPOPULAR@YAHOO.COM.AR>,1980-01-01,3900
06140,Bib.Pop. Almafuerte,bpalmafuerte@hotmail.com,1923-01-01,1002
06147,Bib.Pop. José Ingenieros,biblioingenieros@gmail.com,1963-01-01,2861
06147,Bib.Pop. El Libro Alegre,biblioellibroalegre@hotmail.com.ar,2009-01-01,4289
06147,Bib.Pop.Esc. Dr. Enrique Smith,,1984-01-01,3045
06154,Bib.Pop. Roque Saénz Peña,bibliotejedor@yahoo.com.ar,1916-01-01,268
06154,Bib.Pop. Bernardino Rivadavia,sanjose@servicoopsa.com.ar,1920-01-01,258
06161,Bib.Pop. Juan Bautista Alberdi,bibliocada@yahoo.com.ar,1914-01-01,270
06168,Bib.Pop. Juan José Castelli,biblicast@yahoo.com.ar,1940-01-01,2264
06210,Bib.Pop. D.F.Sarmiento,,1907-01-01,1381
06210,Bib.Pop. Guillermo Rawson,,1920-01-01,222
06218,Bib.Pop. D.F.Sarmiento,bpsarmiento113@yahoo.com.ar,,113
06218,Bib.Pop.Soc.Fom. Nuestra Señora de Luján,biblovillalujan@hotmail.com,1982-01-01,3038
06218,Bib.Pub. San José Obrero,biblioteka_jso@yahoo.com,1986-01-01,3189
