Cuanexo,Nombre,id_departamento
020000100,INSTITUTO PRIVADO ESCUELA EVANGELICA WILLIAM C. MORRIS,02004
020000200,CARLOS R. VIGNALE,02004
020000300,INSTITUTO SAN CAYETANO,02013
020000500,INSTITUTO NUESTRA SEÑORA DEL ROSARIO,02013
020000700,INSTITUTO NTRA SEÑORA DE LUJAN DE LOS PATRIOTAS,02009
020000800,DR MARTINIANO LEGUIZAMON,02009
020000900,BENITO QUINQUELA MARTIN,02004
020001000,JOSE JACINTO BERRUTTI,02004
020001100,REPUBLICA ITALIANA,02004
020001200,JUAN MARIA GUTIERREZ,02004
020001700,ESCUELA DE LA ALDEA,02013
020001800,FRAY JUSTO SANTA MARIA DE ORO,02011
020002200,REPUBLICA DE FILIPINAS,02009
020002300,JUAN RAMON JIMENEZ,02009
020002400,RECUERDOS DE PROVINCIA,02010
020002500,CARLOS GUIDO Y SPANO,02010
020002600,CENTRO DE ESTUDIOS INTERDISCPLINARIOS PARA EL APRENDIZAJE Y LA COMUNICACION,02013
020002700,JARDIN INFANTES A.B.C.,02013
020002800,INSTITUTO BET-EL,02013
020002900,INSTITUTO SAN PEDRO,02004
020003100,COLEGIO LAS CUMBRES,02002
020003300,INSTITUTO CONSTANZA RAMOS MEJIA DE BUNGE,02001
020003400,INST. COLEGIO SAN TARSICIO,02002
020003500,JARDIN DE INFANTES EL CENTAVO,02001
020003700,JIN B HOMERO MANZI DE 19 (N°11),02004
020003701,JIN B HOMERO MANZI DE 19 (N°1),02004
020003703,JIN B HOMERO MANZI DE 19 (N°10),02004
020003800,MARIA SILVENTI DE AMATO,02004
020003900,PROFESOR CARLOS JUSTO FLORIT,02004
020004000,RICARDO GUIRALDES,02007
020004100,PROVINCIA DE CORRIENTES,02004
020004200,AERONAUTICA ARGENTINA,02004
020004300,JUAN ANDRES DE LA PEÑA,02004
020004400,JII Nº 01 DE 19,02007
020004600,REPUBLICA DE HONDURAS,02015
020004700,INSTITUTO BAYARD,02014
020004800,CABILDO DE BUENOS AIRES,02015
020004900,INSTITUTO PARROQUIAL SANTA LUCIA,02004
020005000,DR. PEDRO MELITON LEDESMA,02004
020005100,INGENIERO ALVAREZ CONDARCO,02015
020005300,PRESIDENTE DERQUI,02004
020005400,INSTITUTO SAN JUAN MARIA VIANNEY,02011
020005500,INSTITUTO INTEGRAL DEL SUD,02001
020005600,FRANCISCO DE GURRUCHAGA,02003
020005800,COLEGIO SECUNDARIO STO TOMAS DE AQUINO,02003
020005801,COLEGIO SEC. STO TOMAS DE AQUINO,02013
020006300,GENERAL GUEMES,02001
020006500,INST. HOGAR DEL PINO,02001
020007100,GRAL MARIANO NECOCHEA,02001
020007200,INSTITUTO NUESTRA SEÑORA DE MONSERRAT,02001
020007300,FRAY CAYETANO RODRIGUEZ,02001
020007500,JIN D DE 18 (ESC. PRIM. N° 08 DE 18),02010
020007501,JIN D DE 18 (ESC. PRIM. Nº 07 DE 18),02010
020007502,JIN D DE 18 (ESC. PRIM. N° 10 DE 18),02010
020007600,JIC Nº 03 DE 05,02004
020007700,NIEVES ESCALADA DE OROMI,02004
020007800,INSTITUTO PIO IX,02005
020007900,COLEGIO Nº 13 CNEL.DE MARINA TOMAS ESPORA DE 18,02009
020008200,INST MARIA BIANCHI DE COPELLO,02002
020008300,COLEGIO SAGRADA FAMILIA,02012
020008400,JIC Nº 01 REPUBLICA ARGENTINA DE 18,02010
020008500,GENDARMERIA NACIONAL,02010
020008600,CASIMIRO AURELIANO MACIEL,02010
020008700,INSTITUTO DR. HERLZ,02015
020008900,PRESBITERO ALBERTI,02004
020009000,JOSE MARTI,02008
020009100,COLEGIO PARR. NTRA SRA DE LA ANUNCIACION,02012
020009500,INSTITUTO DIVINO CORAZON,02014
020009700,JIC N° 04 DE 18,02010
020009800,INSTITUTO EDUCACIONAL DUAYEN,02015
020009900,INSTITUTO SAN VICENTE PALLOTTI,02012
020010000,CENTRO EDUCATIVO SAN FRANCISCO JAVIER,02014
020010200,INSTITUTO CANTO A LA VIDA,02008
020010300,HOMERO MANZI,02008
020010400,INSTITUTO MARIA AUXILIADORA,02004
020011000,REPUBLICA FRANCESA,02009
020011100,CARLOS MOREL,02009
020011200,REPUBLICA DE COREA,02009
020011300,REPUBLICA ISLAMICA DE PAKISTAN,02009
020011400,INSTITUTO MONSEÑOR SABELLI,02006
020011500,ESCUELA CRISTIANA DE LA PUERTA ABIERTA,02010
020011600,NUEVOS AIRES,02012
020011700,JII N° 01 DE 11,02007
020011800,INSTITUTO COMUNIDAD FILII DEI,02001
020012000,GENERAL JOSE SAN MARTIN,02001
020012100,FRENCH Y BERUTI,02001
020012300,COLEGIO DE LOS NIÑOS,02014
020012301,COLEGIO DE LOS NIÑOS,02014
020012500,AMAPOLA,02014
020012600,INSTITUTO ESPAÑOL VIRGEN DEL PILAR,02013
020012700,INST.SANTA MARIA DE LUJAN,02014
020012800,PROVINCIA DE CORDOBA,02014
020012900,ESCUELA TECNICA PHILIPS ARGENTINA,02013
020013000,DR. ENRIQUE M. MOSCA,02015
020013500,CARLOS SAAVEDRA LAMAS,02004
020013600,MARTIN DEL BARCO CENTENERA,02012
020013800,INSTITUTO SANTA CLARA DE ASIS,02012
020013900,JUAN B. PEÑA,02007
020014000,LEOPOLDO MARECHAL,02011
020014100,FLORIAN OLIVER,02007
020014200,INST. MATER DOLOROSA,02011
020014300,COLEGIO Nº 19 LUIS PASTEUR DE 17,02011
020014400,JARDIN CUENTA CUENTOS,02011
020014500,COLEGIO PRESENCIA,02011
020014600,ESCUELA PARROQUIAL LA PIEDAD,02001
020015000,INSTITUTO NUESTRA SEÑORA DE LUJAN,02004
020015200,ESC.DE EDUC.MEDIA Nº1 FEDERICO GARCIA LORCA DE14,02015
020015300,DR. LUIS F. LELOIR,02008
020015400,DR.GENARO SISTO,02004
020015500,JIC Nº 02 JARDIN DEL ANGEL GRIS DE 12,02007
020015700,COLEGIO NUMEN,02007
020015800,JIN B DE 08 (ESC. PRIM. Nº 06 DE 08),02005
020015801,JIN B DE 08 (ESC. PRIM. N° 08 DE 08),02006
020015900,ESC. DE COM. Nº 20 DR. JUAN AGUSTIN GARCIA DE 14,02015
020016000,REPUBLICA DEL ECUADOR,02015
020016100,ROMPEHIELOS GRAL SAN MARTIN,02011
020016300,ESC. DE EDUC. MEDIA Nº 03 ANTONIO DEVOTO DE 17,02011
020016500,ANTONIO A. ZINNY,02007
020016600,CAPITAN JUAN DE SAN MARTIN Y GOMEZ,02011
020016700,JOSE ERNESTO GALLONI,02011
