Cuanexo,Submodalidad
020000100,Nivel inicial
020000100,Primaria
020000100,Secundaria
020000200,Primaria
020000300,Nivel inicial
020000300,Primaria
020000500,Nivel inicial
020000500,Primaria
020000500,Secundaria
020000700,Nivel inicial
020000700,Primaria
020000700,Secundaria
020000800,Primaria
020000900,Primaria
020001000,Primaria
020001100,Primaria
020001200,Primaria
020001700,Nivel inicial
020001700,Primaria
020001800,Primaria
020002200,Primaria
020002300,Primaria
020002400,Primaria
020002500,Primaria
020002600,No Universitario
020002700,Nivel inicial
020002800,Nivel inicial
020002800,Primaria
020002900,Nivel inicial
020002900,Primaria
020003100,Nivel inicial
020003100,Primaria
020003100,Secundaria
020003300,Nivel inicial
020003300,Primaria
020003400,Nivel inicial
020003400,Primaria
020003500,Nivel inicial
020003700,Nivel inicial
020003701,Nivel inicial
020003703,Nivel inicial
020003800,Primaria
020003900,Primaria
020004000,Primaria
020004100,Primaria
020004200,Primaria
020004300,Primaria
020004400,Nivel inicial
020004600,Primaria
020004700,Nivel inicial
020004700,Primaria
020004800,Primaria
020004900,Nivel inicial
020004900,Primaria
020005000,Primaria
020005100,Primaria
020005300,Primaria
020005400,Nivel inicial
020005400,Primaria
020005500,Nivel inicial
020005600,Primaria
020005800,Secundaria
020005801,Primaria
020005801,Secundaria
020006300,Primaria
020006500,Nivel inicial
020006500,Primaria
020007100,Primaria
020007200,Nivel inicial
020007200,Primaria
020007300,Primaria
020007500,Nivel inicial
020007501,Nivel inicial
020007502,Nivel inicial
020007600,Nivel inicial
020007700,Primaria
020007800,Secundaria
020007900,Secundaria
020008200,Nivel inicial
020008200,Primaria
020008300,Nivel inicial
020008300,Primaria
020008300,Secundaria
020008400,Nivel inicial
020008500,Primaria
020008600,Primaria
020008700,Nivel inicial
020008700,Primaria
020008900,Primaria
020009000,Primaria
020009100,Nivel inicial
020009100,Primaria
020009100,Secundaria
020009500,Nivel inicial
020009500,Primaria
020009500,Secundaria
020009700,Nivel inicial
020009800,Nivel inicial
020009800,Primaria
020009800,Secundaria
020009900,Nivel inicial
020009900,Primaria
020010000,Nivel inicial
020010000,Primaria
020010000,Secundaria
020010200,Nivel inicial
020010200,Primaria
020010200,Secundaria
020010300,Primaria
020010400,Nivel inicial
020010400,Primaria
020011000,Primaria
020011100,Primaria
020011200,Primaria
020011300,Primaria
020011400,Nivel inicial
020011400,Primaria
020011500,Nivel inicial
020011500,Primaria
020011500,Secundaria
020011600,Nivel inicial
020011600,Primaria
020011600,Secundaria
020011600,No Universitario
020011700,Nivel inicial
020011800,Nivel inicial
020011800,Primaria
020011800,Secundaria
020012000,Primaria
020012100,Primaria
020012300,Nivel inicial
020012300,Primaria
020012300,Secundaria
020012301,Secundaria
020012500,Primaria
020012600,Nivel inicial
020012600,Primaria
020012600,Secundaria
020012700,Nivel inicial
020012700,Primaria
020012700,Secundaria
020012800,Primaria
020012900,Secundaria
020013000,Primaria
020013500,Primaria
020013600,Primaria
020013800,Nivel inicial
020013800,Primaria
020013800,Secundaria
020013900,Primaria
020014000,Primaria
020014100,Primaria
020014200,Nivel inicial
020014200,Primaria
020014200,Secundaria
020014300,Secundaria
020014400,Nivel inicial
020014500,Secundaria
020014500,No Universitario
020014600,Nivel inicial
020014600,Primaria
020015000,Nivel inicial
020015000,Primaria
020015000,Secundaria
020015200,Secundaria
020015300,Primaria
020015400,Primaria
020015500,Nivel inicial
020015700,Nivel inicial
020015700,Primaria
020015800,Nivel inicial
020015801,Nivel inicial
020015900,Secundaria
020016000,Primaria
020016100,Primaria
020016300,Secundaria
020016500,Primaria
020016600,Primaria
020016700,Primaria
020016800,Nivel inicial
020016800,Primaria
020016900,Primaria
020017000,Nivel inicial
020017400,Nivel inicial
020017400,Primaria
020017400,Secundaria
020017500,No Universitario
020017700,Nivel inicial
020017701,Nivel inicial
020017702,Nivel inicial
020017800,Nivel inicial
020017800,Primaria
020017800,Secundaria
020018100,Primaria
020018400,Primaria
020018500,Primaria
020018600,Primaria
020018700,Nivel inicial
020018701,Nivel inicial
020018702,Nivel inicial
020018800,Nivel inicial
020018900,Primaria
020019000,Nivel inicial
020019000,Primaria
020019000,Secundaria
020019200,Secundaria
020019300,Primaria
020019400,Nivel inicial
020019400,Primaria
020019600,Primaria
020019800,Nivel inicial
020019800,Primaria
020019800,Secundaria
020019900,Nivel inicial
020019900,Primaria
020019900,Secundaria
020020100,Nivel inicial
020020100,Primaria
020020100,Secundaria
020020200,Primaria
020020300,Nivel inicial
020020300,Primaria
020020300,Secundaria
020020600,Nivel inicial
020020600,Primaria
020020700,Primaria
020020800,Primaria
020020900,Nivel inicial
020020900,Primaria
020020900,Secundaria
020021200,Nivel inicial
020021300,Primaria
020021400,Primaria
020021500,Primaria
020021600,Primaria
020021700,Nivel inicial
020021700,Primaria
020021700,Secundaria
020021800,Nivel inicial
020021800,Primaria
020021800,Secundaria
020021900,Primaria
020022000,Nivel inicial
020022001,Nivel inicial
020022002,Nivel inicial
020022003,Nivel inicial
020022100,Primaria
020022300,Nivel inicial
020022300,Primaria
020022300,Secundaria
020022400,Nivel inicial
020022400,Primaria
020022500,Nivel inicial
020022500,Primaria
020023000,Primaria
020023100,Nivel inicial
020023100,Primaria
020023100,Secundaria
020023200,No Universitario
020023300,No Universitario
020023400,Nivel inicial
020023400,Primaria
020023500,Secundaria
020023600,Primaria
020023700,Primaria
020023900,Nivel inicial
020023901,Nivel inicial
020024000,No Universitario
020024800,Nivel inicial
020024800,Primaria
020024800,Secundaria
020024900,Nivel inicial
020024902,Nivel inicial
020024903,Nivel inicial
020025000,Primaria
020025100,Primaria
020025300,Nivel inicial
020025300,Primaria
020025300,Secundaria
020025400,Nivel inicial
020025400,Primaria
020025500,Nivel inicial
020025600,No Universitario
020026400,Nivel inicial
020026400,Primaria
020026400,Secundaria
020026800,Primaria
020027300,No Universitario
020027400,Nivel inicial
020027500,Nivel inicial
020027600,Nivel inicial
020027600,Primaria
020027600,Secundaria
020027800,Nivel inicial
020027804,Nivel inicial
020027900,Primaria
020028100,Primaria
020028300,No Universitario
020028500,Secundaria
020028600,Secundaria
020028700,Nivel inicial
020028700,Primaria
020028700,Secundaria
020028900,Primaria
020029000,Nivel inicial
020029001,Nivel inicial
020029002,Nivel inicial
020029300,Nivel inicial
020029300,Primaria
020029300,Secundaria
020029400,Nivel inicial
020029401,Nivel inicial
020029500,Nivel inicial
020029500,Primaria
020029500,Secundaria
020029600,Primaria
020029700,Primaria
020029800,Primaria
020029900,Secundaria
020030200,Primaria
020030300,Nivel inicial
020030300,Primaria
020030400,Primaria
020030500,Primaria
020030700,Nivel inicial
020030700,Primaria
020030700,Secundaria
020030900,Nivel inicial
020030902,Nivel inicial
020031100,Primaria
020031700,Secundaria
020031900,Primaria
020032400,Primaria
020032500,Primaria
020032800,Primaria
020032900,Primaria
020033000,Primaria
020033100,Nivel inicial
020033100,Primaria
020033300,Primaria
020033400,Nivel inicial
020033400,Primaria
020033500,Nivel inicial
020033500,Primaria
020033600,Nivel inicial
020033601,Nivel inicial
020033602,Nivel inicial
020034100,Primaria
020034200,Nivel inicial
020034400,Nivel inicial
020034401,Nivel inicial
020034402,Nivel inicial
020034403,Nivel inicial
020034900,Primaria
020035000,Secundaria
020035100,Primaria
020035200,Primaria
020035300,Nivel inicial
020035400,Nivel inicial
020035400,Primaria
020035400,Secundaria
020035500,Nivel inicial
020035500,Primaria
020035600,No Universitario
020035800,Primaria
020036100,No Universitario
020036200,Primaria
020036300,Primaria
020036400,Secundaria
020036600,No Universitario
020036601,No Universitario
020036800,Nivel inicial
020036800,Primaria
020037000,Primaria
020037200,No Universitario
020037900,Nivel inicial
020038000,Primaria
020038100,Nivel inicial
020038200,Nivel inicial
020038300,Secundaria
020038600,Primaria
020038700,Nivel inicial
020038700,Primaria
020038700,Secundaria
020039800,Nivel inicial
020039800,Primaria
020039900,Primaria
020040000,Primaria
020040100,Secundaria
020040200,Nivel inicial
020040200,Primaria
020040200,Secundaria
020040300,Nivel inicial
020040300,Primaria
020040400,Primaria
020040700,Nivel inicial
020040700,Primaria
020040700,Secundaria
020041000,Primaria
020041100,Nivel inicial
020041100,Primaria
020041100,Secundaria
020041200,Nivel inicial
020041200,Primaria
020041300,Primaria
020041400,Secundaria
020041500,Nivel inicial
020041500,Primaria
020041500,Secundaria
020041700,Primaria
020041800,Primaria
020041900,Primaria
020042000,Nivel inicial
020042000,Primaria
020042000,Secundaria
020042100,Primaria
020042200,Nivel inicial
020042200,Primaria
020042200,Secundaria
020042400,No Universitario
020042500,Nivel inicial
020042500,Primaria
020042600,Nivel inicial
020042700,Nivel inicial
020042800,Nivel inicial
020042800,Primaria
020042800,Secundaria
020043300,Primaria
020043700,Nivel inicial
020043700,Primaria
020043800,Primaria
020043900,Nivel inicial
020044000,Nivel inicial
020044000,Primaria
020044100,Primaria
020044200,Nivel inicial
020044400,Nivel inicial
020044401,Nivel inicial
020044402,Nivel inicial
020044600,Nivel inicial
020044600,Primaria
020044700,Primaria
020045100,No Universitario
020045500,Nivel inicial
020045500,Primaria
020045600,Nivel inicial
020045600,Primaria
020045700,Nivel inicial
020045700,Primaria
020045800,No Universitario
020046000,Secundaria
020046100,Primaria
020046200,Primaria
020046300,Primaria
020046400,Nivel inicial
020046400,Primaria
020046700,Nivel inicial
020046702,Nivel inicial
020046703,Nivel inicial
020046900,Secundaria
020047000,Primaria
020047200,Primaria
020047300,Primaria
020047400,Primaria
020047600,Primaria
020047700,Nivel inicial
020047800,Secundaria
020047900,Nivel inicial
020047900,Primaria
020047900,Secundaria
020048100,Primaria
020048300,Secundaria
020048400,Primaria
020048500,Primaria
020048600,Nivel inicial
020048600,Primaria
020048600,Secundaria
020048700,Secundaria
020048900,Primaria
020049000,Primaria
020049100,Primaria
020049200,Nivel inicial
020049300,Nivel inicial
020049300,Primaria
020049300,Secundaria
020049400,Secundaria
020049500,Primaria
020049600,Nivel inicial
020049600,Primaria
020049600,Secundaria
020049700,Primaria
020049900,Secundaria
020050000,Secundaria
020050200,Nivel inicial
020050200,Primaria
020050200,Secundaria
020050300,Nivel inicial
020050300,Primaria
020050300,Secundaria
020050400,Primaria
020050600,Secundaria
020050800,Nivel inicial
020050800,Primaria
020050800,Secundaria
020050900,Secundaria
020051100,Nivel inicial
020051100,Primaria
020051100,Secundaria
020051200,Nivel inicial
020051200,Primaria
020051200,Secundaria
020051300,Nivel inicial
020051300,Primaria
020051300,Secundaria
020051400,Primaria
020051600,Primaria
020051800,Primaria
020051900,Primaria
020052000,Primaria
020052100,Nivel inicial
020052100,Primaria
020052100,Secundaria
020052300,Primaria
020052400,Primaria
020052500,Nivel inicial
020052500,Primaria
020052600,No Universitario
020052700,Primaria
020052700,Secundaria
020052800,Primaria
020053000,Primaria
020053100,No Universitario
020053200,Nivel inicial
020053200,Primaria
020053300,Primaria
020053400,Nivel inicial
020053400,Primaria
020053400,Secundaria
020053500,Nivel inicial
020053500,Primaria
020053500,Secundaria
020053600,Primaria
020053600,Secundaria
020053600,No Universitario
020053601,No Universitario
020053602,Nivel inicial
020053900,No Universitario
020054000,Primaria
020054100,Nivel inicial
020054100,Primaria
020054100,Secundaria
020054200,Nivel inicial
020054300,Secundaria
020054400,Primaria
020054500,Nivel inicial
020054500,Primaria
020054600,Primaria
020055400,Nivel inicial
020055401,Nivel inicial
020055402,Nivel inicial
020055403,Nivel inicial
020055404,Nivel inicial
020055500,Secundaria
020055600,Primaria
020055700,Primaria
020055800,Primaria
020055900,Nivel inicial
020056000,Nivel inicial
020056000,Primaria
020056000,Secundaria
020056100,Nivel inicial
020056100,Primaria
020056100,Secundaria
020056200,Nivel inicial
020056200,Primaria
020056200,Secundaria
020056300,Secundaria
020056400,No Universitario
020056500,Nivel inicial
020056500,Primaria
020056500,Secundaria
020056600,Primaria
020056700,Primaria
020056800,Secundaria
020057000,Primaria
020057100,Nivel inicial
020057100,Primaria
020057100,Secundaria
020057200,Nivel inicial
020057200,Primaria
020057200,Secundaria
020057500,Nivel inicial
020057500,Primaria
020057800,Primaria
020057900,Nivel inicial
020057900,Primaria
020057900,Secundaria
020058000,Nivel inicial
